Geneid,PC3_Normoxia_S2,PC3_Normoxia_S1,LNCAP_Hypoxia_S1,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,LNCAP_Hypoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2
ENSG00000007312,0,1,0,0,0,0,0,0
ENSG00000007314,3,2,0,2,0,1,2,1
ENSG00000007341,588,226,878,1422,1535,995,554,183
ENSG00000007350,0,0,10,7,4,16,2,0
ENSG00000007372,301,123,0,0,3,2,280,81
ENSG00000007376,877,371,629,560,1019,814,554,196
ENSG00000007384,313,117,1628,1040,1351,1946,408,132
ENSG00000007392,117,35,3987,2380,2720,4511,115,31
ENSG00000007402,114,46,347,291,479,281,88,28
ENSG00000007516,76,42,281,220,269,293,77,33
ENSG00000007520,262,103,345,393,891,412,148,48
ENSG00000007541,244,85,760,492,850,791,163,71
ENSG00000007545,24,8,455,385,521,590,32,14
ENSG00000007866,239,78,1224,754,1058,1400,288,114
ENSG00000007908,0,0,0,2,2,4,0,0
ENSG00000007923,895,367,2565,2517,3012,2919,923,322
ENSG00000007933,3,3,6,4,3,6,2,1
ENSG00000007944,423,173,1015,721,963,1057,303,103
ENSG00000007952,10,5,36,52,42,34,9,0
ENSG00000007968,121,36,243,361,333,342,59,27
ENSG00000008018,2185,893,5966,9083,9263,7852,2503,833
ENSG00000008056,15,3,11,4,6,3,41,7
ENSG00000008083,315,137,1950,1358,1691,2309,339,126
ENSG00000008086,1475,491,468,461,464,539,2229,750
ENSG00000008118,20,6,2,1,4,2,14,7
ENSG00000008128,1,0,92,54,90,95,1,0
ENSG00000008130,293,102,1893,1866,2050,2181,168,70
ENSG00000008196,1,1,1,1,2,0,0,0
ENSG00000008197,0,0,0,0,0,0,0,0
ENSG00000008226,4,0,31,29,24,30,3,1
ENSG00000008256,222,74,1234,2083,2225,1477,155,47
ENSG00000008277,425,172,705,1149,1303,857,392,131
ENSG00000008282,2089,747,5437,6669,5933,6652,2529,906
ENSG00000008283,2078,824,4165,4768,5107,5083,1568,548
ENSG00000008294,1628,566,2364,2286,2463,2610,1759,520
ENSG00000008300,83,37,809,309,457,915,87,45
ENSG00000008311,1377,440,1481,2321,2536,1724,1057,343
ENSG00000008323,59,16,76,42,44,72,38,13
ENSG00000008324,102,38,370,354,470,448,85,31
ENSG00000008382,53,34,160,188,382,163,29,14
ENSG00000008394,5800,1891,8057,16947,20690,9361,5702,1945
ENSG00000008405,438,213,1120,694,826,1286,704,222
ENSG00000008438,3,3,0,6,3,2,2,2
ENSG00000008441,1598,543,29315,27349,38229,32229,1576,522
ENSG00000008513,2417,968,32077,27535,34998,35057,3761,1273
ENSG00000008516,21,5,42,26,29,29,8,7
ENSG00000008517,485,184,749,351,376,862,427,180
ENSG00000008710,272,108,2408,1464,2263,2295,202,90
ENSG00000008735,9,4,422,387,845,507,23,3
ENSG00000008838,583,272,2207,1931,2720,2764,515,175
ENSG00000008853,434,165,399,460,651,446,288,84
ENSG00000008869,788,324,1875,2014,2303,2195,794,285
ENSG00000008952,541,151,7837,9378,11578,8921,444,105
ENSG00000008988,2097,865,8702,10424,15819,10443,2215,717
ENSG00000009307,10540,3714,41323,42576,47359,46832,11834,3667
ENSG00000009335,3042,1258,5752,5912,6545,6796,3278,1052
ENSG00000009413,1286,471,2009,1504,1559,2538,1044,338
ENSG00000009694,16,1,1281,468,559,1424,18,9
ENSG00000009709,0,0,0,0,1,0,1,0
ENSG00000009724,98,33,216,182,218,232,73,22
ENSG00000009765,1,2,501,619,572,545,0,2
ENSG00000009780,320,111,546,604,684,569,267,81
ENSG00000009790,5,1,18,7,16,22,7,3
ENSG00000009830,230,87,1359,971,1137,1633,203,69
ENSG00000009844,2552,862,4157,4302,4550,4725,2411,857
ENSG00000009950,61,25,270,268,332,239,32,14
ENSG00000009954,679,261,10078,9113,9988,11627,519,159
ENSG00000010017,737,240,3848,2747,2904,4008,682,224
ENSG00000010030,3,1,4,24,40,11,7,0
ENSG00000010072,403,129,695,779,863,873,313,105
ENSG00000010165,1210,497,887,1418,1897,1141,824,283
ENSG00000010219,463,167,877,807,1030,1026,331,101
ENSG00000010244,3777,1351,7330,7972,9302,8596,3514,1302
ENSG00000010256,2208,918,3155,2879,4982,3586,2028,671
ENSG00000010270,880,334,1660,1863,2236,1833,885,310
ENSG00000010278,1792,628,42479,29716,45053,41756,2572,785
ENSG00000010282,0,0,2,1,3,4,0,0
ENSG00000010292,3858,1405,3546,4192,4060,4163,3597,1259
ENSG00000010295,11,5,15,13,3,16,26,8
ENSG00000010310,15,2,2,1,4,2,15,8
ENSG00000010318,157,51,375,417,493,360,100,41
ENSG00000010319,13,5,351,353,405,336,10,4
ENSG00000010322,889,333,4662,4012,5528,5032,708,256
ENSG00000010327,9,2,16,5,8,12,6,2
ENSG00000010361,58,21,225,122,220,233,51,5
ENSG00000010379,1,1,10,10,13,11,0,0
ENSG00000010404,170,70,330,232,145,162,165,56
ENSG00000010438,27,5,0,1,4,1,47,15
ENSG00000010539,132,46,468,522,499,575,100,44
ENSG00000010610,0,0,15,9,19,20,0,0
ENSG00000010626,100,47,456,604,672,519,87,38
ENSG00000010671,19,4,7,9,8,4,10,2
ENSG00000010704,1,2,140,225,195,200,7,0
ENSG00000010803,644,195,2328,2497,3053,2529,463,153
ENSG00000010810,301,114,253,91,179,265,313,106
