"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000163171",1729.87679948894,1.98657513221307,0.121425156045616,16.3604906669155,3.66165685256794e-60,1.07808526650713e-57
"ENSG00000124157",231.430375143968,4.48171413110206,0.273988647154496,16.3572986605351,3.85868759723742e-60,1.11242747855357e-57
"ENSG00000095739",1414.96770724831,2.08023820832987,0.128110104117633,16.2378933547643,2.7210937146794e-59,7.6845907803538e-57
"ENSG00000144481",1053.10837736644,2.68141453113147,0.167185002260171,16.0386069018242,6.86776844309168e-58,1.90072359431005e-55
"ENSG00000152256",2393.03812163593,2.01219766349123,0.125607292219249,16.0197519422592,9.30206170018266e-58,2.52395940798289e-55
"ENSG00000069667",316.765905302121,3.20838621164513,0.20114959626743,15.9502493227953,2.83761808586802e-57,7.5513382831234e-55
"ENSG00000075886",790.108046793274,2.25766755468216,0.143162242138993,15.7699929880271,5.00553396019129e-56,1.30691658379485e-53
"ENSG00000100867",681.171336749914,-2.3871107521852,0.153245988771894,-15.5769868517628,1.04359312899032e-54,2.67430402203113e-52
"ENSG00000135919",491.494933200679,3.04231839897944,0.195378992584316,15.5713690542576,1.13942080316821e-54,2.8667827407712e-52
"ENSG00000197930",3766.78002728289,2.17479474102816,0.141225465868376,15.3994517040935,1.65062989812432e-53,4.07882438040078e-51
"ENSG00000115548",2288.38184905925,1.90038941134451,0.124578063370999,15.2546071107645,1.53415656850788e-52,3.72450150789684e-50
"ENSG00000206527",4976.1440832284,1.69846150983002,0.112028323862661,15.1610008189733,6.40853024439633e-52,1.52898692279235e-49
"ENSG00000198888",113278.880906892,-1.66469191470765,0.10998681616313,-15.1353768822494,9.46369885185367e-52,2.21963838494832e-49
"ENSG00000164096",10041.8905366529,1.6531001309027,0.109525660773827,15.0932678170862,1.79335893634863e-51,4.13608349353205e-49
"ENSG00000122884",3832.65867609159,1.59582002383309,0.106357783362688,15.0042617792364,6.88527242614471e-51,1.5619409808687e-48
"ENSG00000067225",26283.3613656199,1.49079910717189,0.100315685682909,14.8610767799984,5.89696898151942e-50,1.31616543171396e-47
"ENSG00000159399",4110.04075818528,1.74134025700209,0.118875783589123,14.6484019236482,1.37921588091536e-48,3.02945862858836e-46
"ENSG00000127663",2485.64659581305,1.65889735469125,0.11336060230555,14.6338085803381,1.70943936304288e-48,3.63926490858267e-46
"ENSG00000159337",229.214875169659,3.62299463598995,0.247569688864602,14.6342415850891,1.69859177085785e-48,3.63926490858267e-46
"ENSG00000198840",27942.5187767555,-1.43944824302593,0.0985565590446704,-14.6053013313249,2.59830902572162e-48,5.44778792392965e-46
"ENSG00000124107",567.560583651441,2.33361276432111,0.160549112418515,14.5351956741929,7.25060546611715e-48,1.49752057373327e-45
"ENSG00000173221",620.597080632821,2.19816208760266,0.151391385584729,14.5197302945115,9.08670551719951e-48,1.8491445727501e-45
"ENSG00000147852",625.257278592325,2.18197771997392,0.150631597066822,14.4855247004117,1.49576080526313e-47,2.99975913380163e-45
"ENSG00000123505",43991.9302293419,1.62476967571064,0.112405699919328,14.4545132219871,2.34783778665157e-47,4.64133989881206e-45
"ENSG00000109181",205.919814701082,-3.58807062360171,0.25057819930914,-14.3191651687747,1.66106580613331e-46,3.23744065144687e-44
"ENSG00000123384",1457.70288773666,1.95950554042284,0.136867768737801,14.3167785848595,1.71909086846665e-46,3.30399714414465e-44
"ENSG00000112715",9577.96958844205,1.69226012061435,0.118921208110452,14.2300952664608,5.96005272276862e-46,1.12979739147496e-43
"ENSG00000164442",6860.65692140686,1.64876825893273,0.116678409729568,14.1308770213288,2.45073040892604e-45,4.58286586469169e-43
"ENSG00000213694",417.550131500181,2.42838929291795,0.172149389249418,14.1062904928438,3.47375954164033e-45,6.40931793829584e-43
"ENSG00000006007",3155.60041895513,1.662777145292,0.117932403279793,14.0994086362091,3.82965387106332e-45,6.97299345628608e-43
"ENSG00000185133",809.905310938513,2.39576691445981,0.172794733917686,13.8648143964913,1.03493455068391e-43,1.85992523537195e-41
"ENSG00000158023",500.38457082569,2.33645681769563,0.168731671028517,13.8471740572092,1.32316000390937e-43,2.34742155565357e-41
"ENSG00000179348",5167.85931667985,1.42881346666543,0.10320465428171,13.8444673509132,1.37395423987679e-43,2.40668085714115e-41
"ENSG00000069399",434.065910476436,2.59754175744997,0.18819961884199,13.8020564198423,2.47684873047794e-43,4.28432909154422e-41
"ENSG00000133639",1977.97945317063,1.64823937286989,0.119646717212134,13.775884631649,3.55995412844749e-43,6.08180805301931e-41
"ENSG00000177181",1073.44509985065,1.79446260322812,0.131312948700489,13.6655419057043,1.63085156930933e-42,2.75216146537835e-40
"ENSG00000146094",517.451545260105,2.20487253786078,0.16355874325299,13.4806155513821,2.03402753046892e-41,3.39118951405167e-39
