"","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000151239",3059.37356494198,2859.25605953563,2451.77184148265,2157.0423157706,4018.86668383345,3480.99320775721,2119.00600001797,2197.0634642037
"ENSG00000151240",437.523906559978,490.103482585283,339.82238465691,310.842073553121,138.668549316713,139.097064654233,92.5199802824746,101.902535801497
"ENSG00000151247",2651.4936871828,3013.84924789016,3207.17669008993,3192.59799663445,1092.96029325082,966.546269776849,877.447554937017,933.919943499431
"ENSG00000151276",1938.93906897094,1895.80067824249,1183.6139924399,1092.98912463742,163.881012828842,85.5981936333741,134.303197184237,150.054283487918
"ENSG00000151287",200.920639649877,216.33474035991,196.537017297534,204.305227469329,22.6912171609166,14.2663656055623,29.8451549298305,25.7555859718068
"ENSG00000151292",1113.29797051899,1205.63542249251,1163.85049349378,1055.28472643493,1922.45034279988,1676.29795865358,1489.27323099854,1584.52844130899
"ENSG00000151304",528.102883451316,519.299100200227,722.465683697081,529.61526777457,350.453242818601,367.35891434323,417.832169017627,409.849759377448
"ENSG00000151320",124.614713662629,125.397570739594,124.619840576928,114.428464312221,104.631723575338,135.530473252842,146.24125915617,160.132556259495
"ENSG00000151322",1.09792699262228,0.957233364424381,0,0,18.9093476340972,21.3995484083435,38.7987014087797,34.7140506576527
"ENSG00000151327",3214.18127090172,3140.20405199418,2215.70782629287,1953.6139347711,666.869659895826,681.218957665602,728.221780287865,714.437558696207
"ENSG00000151332",632.405947750432,632.731253884516,634.627910603211,502.871450444894,584.929153481405,474.356656384948,516.321180286068,490.475941550061
"ENSG00000151338",1378.99630273358,1377.9374280889,1657.9379671468,1278.00372977059,739.985804081002,748.984194292023,671.515985921187,772.667579154205
"ENSG00000151348",625.269422298388,646.132520986458,657.136339958515,801.437673420459,2912.03953565096,2689.2099166485,2590.55944790929,2550.92281929461
"ENSG00000151353",531.945627925494,537.965150806502,529.771568972404,544.960080996516,540.807342335179,627.720086644743,426.785715496576,440.084577692178
"ENSG00000151360",1.64689048893342,2.39308341106095,0,2.63053940947634,0,0,0,0
"ENSG00000151364",2.19585398524456,2.87170009327314,1.64695824551006,0,45.3824343218332,49.9322796194682,32.8296704228136,43.6725153434986
"ENSG00000151365",34.5847002676018,39.7251846236118,32.3901788283646,15.3448132219453,1.26062317560648,0,2.98451549298305,4.47923234292293
"ENSG00000151366",482.538913257491,434.105330766457,530.32055505424,734.358918478812,1471.14724593276,1387.40405514094,981.905597191424,1164.60040915996
"ENSG00000151388",9.88134293360051,11.4868003730926,9.88174947306038,14.4679667521199,17.6487244584907,17.8329570069529,29.8451549298305,26.8753940575376
"ENSG00000151413",357.375236098552,358.005278294719,503.420237044243,516.900993962101,180.269114111726,199.729118477873,196.978022536881,211.643728203108
"ENSG00000151414",1543.13638813061,1434.41419658994,1525.63232142416,1322.28447649677,791.671354280868,759.683968496195,423.801200003593,409.849759377448
"ENSG00000151422",615.937042861098,597.792236083026,471.030058215878,363.891284977561,2411.57213493519,2068.62301280654,1340.04745634939,1397.52049099195
"ENSG00000151445",1052.91198592477,906.499996109889,1271.45176553377,1372.70314851174,553.413574091244,645.553043651696,761.051450710678,725.635639553515
"ENSG00000151458",645.5810716619,611.67211986718,574.788427683012,454.206471369582,1416.94044938168,1059.277646213,1044.58042254407,1191.4758032175
"ENSG00000151461",2113.50946079789,2347.6148262508,2753.71418649283,2333.72687944043,1200.11326317737,831.015796524007,987.87462817739,1024.62439844362
"ENSG00000151465",2857.35499829948,2946.84291238046,2760.30201947487,2836.15990665041,2856.57211592428,2328.98418510805,2438.34915776715,2619.23111252418
"ENSG00000151466",260.20869725148,263.239175216705,399.112881495272,341.093276762099,574.844168076554,520.722344603026,420.81668451061,549.82577009379
"ENSG00000151468",1.09792699262228,1.91446672884876,2.19594432734675,3.06896264438907,1.26062317560648,0,2.98451549298305,0
"ENSG00000151470",465.521044871846,434.583947448669,581.925246746889,526.546305130181,258.427750999328,278.194129308466,196.978022536881,221.722000974685
"ENSG00000151474",50.5046416606248,52.647835043341,56.5455664291788,57.4334437735668,1872.02541577562,1622.79908763272,1196.7907126862,1276.58121773304
"ENSG00000151490",1.09792699262228,1.91446672884876,2.74493040918344,0,3.78186952681943,7.13318280278117,0,1.11980808573073
